[ 2025-08-30 12:32:16,706 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-30 12:32:20,306 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-30 12:32:20,306 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-30 12:32:20,307 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-30 12:32:20,427 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-30 12:32:20,428 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-30 12:32:20,463 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-30 12:32:20,595 ] 32 root - INFO - Required number of columns:2
[ 2025-08-30 12:32:20,599 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-30 12:32:20,599 ] 32 root - INFO - Required number of columns:2
[ 2025-08-30 12:32:20,599 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-30 12:32:20,875 ] 28 root - INFO - data Validation Completed
[ 2025-08-30 12:32:20,877 ] 31 root - INFO - data Transformation started
[ 2025-08-30 12:32:20,877 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-30 12:32:20,877 ] 65 root - INFO - Starting data transformation
[ 2025-08-30 12:32:20,924 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-30 12:32:20,925 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-30 12:32:20,950 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-30 12:32:20,956 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-30 12:32:20,956 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-30 12:32:20,961 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-30 12:32:20,962 ] 35 root - INFO - data Transformation completed
