[ 2025-08-30 12:41:48,071 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-30 12:41:50,878 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-30 12:41:50,879 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-30 12:41:50,879 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-30 12:41:50,963 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-30 12:41:50,964 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-30 12:41:50,987 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-30 12:41:51,103 ] 32 root - INFO - Required number of columns:2
[ 2025-08-30 12:41:51,103 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-30 12:41:51,103 ] 32 root - INFO - Required number of columns:2
[ 2025-08-30 12:41:51,104 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-30 12:41:51,321 ] 28 root - INFO - data Validation Completed
[ 2025-08-30 12:41:51,322 ] 31 root - INFO - data Transformation started
[ 2025-08-30 12:41:51,322 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-30 12:41:51,322 ] 65 root - INFO - Starting data transformation
[ 2025-08-30 12:41:51,383 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-30 12:41:51,384 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-30 12:41:51,407 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-30 12:41:51,414 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-30 12:41:51,415 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-30 12:41:51,419 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-30 12:41:51,421 ] 35 root - INFO - data Transformation completed
